id;doi;place;hierarchylevel;category;tag
CF2DGQ;https://doi.org/10.34725/DVN/CF2DGQ;national;dataset;Soil;
ZUK436;https://doi.org/10.34725/DVN/ZUK436;national;dataset;Land;soil conservation
5RHDQC;https://doi.org/10.34725/DVN/5RHDQC;national;dataset;Soil;
2QV0DW;https://doi.org/10.34725/DVN/2QV0DW;continental;dataset;Soil;climate-smart agriculture
MFHA9C;https://doi.org/10.34725/DVN/MFHA9C;global;dataset;Soil;chemicophysical properties, remote sensing
66BFOB;https://doi.org/10.34725/DVN/66BFOB;sub-national;dataset;Soil;chemicophysical properties,soil nutrients
QXCWP1;https://doi.org/10.34725/DVN/QXCWP1;national;dataset;Soil;spectroscopy;
URYP1I;https://doi.org/10.34725/DVN/URYP1I;regional;dataset;Soil;;
