url;label;country;api-protocol;api-url;Filter;description
https://afrialliance.org/;Africa-EU innovation alliance;Global;;;;aims at providing climatic/meteorological and hydrological information
https://africa-knowledge-platform.ec.europa.eu/;EU science hub;Global;;;;A gateway to data and information on Africa's social, economic, territorial and environmental development, developed by the Joint Research Centre
https://www.mapspam.info/data/;MapSPAM, IFPRI;Global;;;;"Spatial Production Allocation Model;crop area distributions"
https://www.yieldgap.org/technology-extrapolation-domains;GYGA;Global;;;;Technology extrapolation domains
https://maps.qed.ai/map/browse;QED;Global;;;;Maps
https://data.isric.org;ISRIC;Global;CSW;https://data.isric.org/geonetwork/srv/eng/csw;"uuid in [""2f99e11d-183c-11e9-aba8-a0481ca9e724"",""e598556a-4dfc-40dc-89ef-1cfd01276744"",""2f99e115-183c-11e9-aba8-a0481ca9e724"",""2b643ef9-4bee-44d4-b50d-5020c9133b8b"",""44e9cac5-2cb7-41c3-9fbc-0bc8b716e993"",""f41367e5-f4d2-4b73-81aa-a472730e1519"",""5e1605a7-5cae-4f7c-b800-9aa7f315d00d"",""2f99e10a-183c-11e9-aba8-a0481ca9e724"",""713396f4-1687-11ea-a7c0-a0481ca9e724"",""867431df-9c35-4aaa-8cd7-93ee0226eb3d"",""6d86f10a-d898-4ba9-b41d-b11c767dde8b"",""625d233b-9060-4145-8372-70e560b1d707"",""2f99e10f-183c-11e9-aba8-a0481ca9e724"",""2f99e118-183c-11e9-aba8-a0481ca9e724"",""713396fc-1687-11ea-a7c0-a0481ca9e724"",""713396f6-1687-11ea-a7c0-a0481ca9e724"",""0df59382-8b09-419c-80c2-96ee41971fe0"",""191be9ad-1817-43cd-9c8e-f22b8ff64294"",""1a8f1290-f75a-4c86-bf7a-7b44d03089c3"",""178b79f1-7471-4dd4-b41e-aba8b18b1bfe"",""2f99e110-183c-11e9-aba8-a0481ca9e724"",""2f99e108-183c-11e9-aba8-a0481ca9e724"",""2f99e11a-183c-11e9-aba8-a0481ca9e724"",""713396f9-1687-11ea-a7c0-a0481ca9e724"",""d29bdac4-4e0f-44e6-94da-d5e7f6ba91be"",""e70d9b3b-a395-4cf7-a6f9-06ca316e506c"",""713396f7-1687-11ea-a7c0-a0481ca9e724"",""40aa2d28-19ae-11e9-b588-a0481ca9e724"",""713396fb-1687-11ea-a7c0-a0481ca9e724"",""bebc6ad0-9b98-4328-99d3-36abe63c20df"",""2f99e10c-183c-11e9-aba8-a0481ca9e724"",""2f99e113-183c-11e9-aba8-a0481ca9e724"",""432363a2-0f1a-46ed-adc1-dadd0c72b68b"",""24faf77e-848b-4378-9a84-0f6e03314f1b"",""4a244ff3-bd55-4d99-9943-26e799cf56cb"",""2f99e107-183c-11e9-aba8-a0481ca9e724"",""480ace54-f743-4173-854c-35a020bc8170"",""2f99e11b-183c-11e9-aba8-a0481ca9e724"",""57dc0d08-95ee-4118-8f23-9aeab65ba31b"",""e24b2c2b-5bb4-4c0c-b743-55aa9c276400"",""60e38d53-6958-408f-b674-8abbaf743fa8"",""2f99e116-183c-11e9-aba8-a0481ca9e724"",""df664518-3b23-43e8-b77b-fd4c8ebac5fd"",""713396fe-1687-11ea-a7c0-a0481ca9e724"",""1e25bd5b-81d4-4b41-a3a5-2368d4f1f617"",""8496a378-8d1e-11e9-8046-0cc47adaa92c"",""b5ca4bb7-7846-48d9-9af9-a0a4a0b94f23"",""14e7c761-6f87-4f4c-9035-adb282439a44"",""145ee3ba-76e0-4a0f-88e2-6b2df3957dab"",""1492ae40-b4f9-4ce2-bfe2-9d41be7444d2"",""713396fd-1687-11ea-a7c0-a0481ca9e724"",""2f99e119-183c-11e9-aba8-a0481ca9e724"",""2fdf1a33-487f-4aa7-a6b6-b2b49483ad48"",""08a4990c-ca15-4871-8d12-ea21dae6b354"",""35421259-e5f4-4411-8102-9cb67c74b9ef"",""2f99e10e-183c-11e9-aba8-a0481ca9e724"",""2f99e111-183c-11e9-aba8-a0481ca9e724"",""c6cb5073-78dd-4d8d-be81-9d546a1c004f"",""2f99e109-183c-11e9-aba8-a0481ca9e724"",""76bb6ba1-35ca-4830-9539-95579444ef24"",""36cb1f3a-c0fe-4f99-ba5f-a9f2b4494431"",""d95b6733-5a29-475e-ab83-478dcb8c0c20"",""2f99e10b-183c-11e9-aba8-a0481ca9e724"",""b2eaa10a-e9d4-4f7d-9c75-25671c43b41b"",""f0797a68-1692-11ea-a7c0-a0481ca9e724"",""2f99e114-183c-11e9-aba8-a0481ca9e724"",""b86eb648-884f-4bf3-9418-7581a4d06548"",""63179d9d-18b4-4611-b8a9-69f5ce8c1fac"",""2f99e117-183c-11e9-aba8-a0481ca9e724"",""3ed0d2a2-8822-421b-8e89-a7f3bb8a973a"",""d8d93c86-6036-48d5-8d89-10e85bb42b56"",""c59d0162-a258-4210-af80-777d7929c512"",""5ebf6a42-f91c-486e-81ca-01476090ffc8"",""2f99e103-183c-11e9-aba8-a0481ca9e724"",""8496a379-8d1e-11e9-8046-0cc47adaa92c"",""c4dc161c-d62d-11ea-a1a3-292680b15169"",""2be1c098-b2b6-40ab-94b5-86674ad9f4cb"",""0676897d-d20e-45e4-b4fd-37ddf73810d1"",""f4e4b68c-ee1a-40ca-9ca6-d71109c78794"",""713396f8-1687-11ea-a7c0-a0481ca9e724"",""c6f2f470-c9ca-47fe-8203-a5b3976d237b"",""2f99e11c-183c-11e9-aba8-a0481ca9e724"",""fe36b48f-c4b1-4598-8111-b788dd5c3abb"",""f5a1188a-09f8-4ef6-b841-93f08e3903f4"",""713396fa-1687-11ea-a7c0-a0481ca9e724"",""f04a9cf6-a121-4624-8ca9-843d5adb9583"",""4a76ff8c-0f33-4327-a3d7-56b7c47005ba"",""f6ecfed7-035b-49ca-bec3-3cbd87f5aba3"",""08a70258-cfb9-46b8-8588-c2b932bbe395"", [""290d3e5d-e173-4f6b-8831-053b819d75fc"",""ebe57bd7-f3ba-45a8-87ff-ba664627247e"",""e0d921ff-5f7b-48e5-ae27-7c1515055e3b"",""59455180-29b7-4e9c-95ab-4d6c03ca19c7"",""31d3e559-051a-48be-854b-9bcb1b4bc5c3"",""10aa9aa3-1433-11e9-a8fa-a0481ca9e724"",""4727602b-d0f2-4a6d-bb2f-d50c0ee24298"",""09da4e4e-dd3f-4e5a-8ee8-a7e484ee5640"",""10aa9ac9-1433-11e9-a8fa-a0481ca9e724"",""5ac0b40e-a45f-4a9c-bbf9-3d1946a448c3"",""9a66a37e-8a4e-463b-b83a-fd49049c323a"",""6f418905-226b-4c87-b10a-a44511487b53"",""c77d1209-56e9-4cac-b76e-bbf6c7e3a617"",""fa637b47-2d45-4539-978e-20a2efc83412"",""b88870b4-6af8-4e78-a3ac-38871d757525"",""10aa9a83-1433-11e9-a8fa-a0481ca9e724"",""24236b32-ab5d-4fc2-ac4c-350d69ed8a4e"",""e4869de3-eb72-49fe-8b66-d3546a07ac99"",""b3df7f8d-aa90-4206-a11c-5d95b4dd2327"",""d601201d-5d88-4f7a-9676-5c2ace45f7c6"",""a21e3629-69a0-4e02-8eb2-3436e7a26f2e"",""b14f76c6-2655-4aa1-92c2-d9875fde2cb3"",""48d2e636-6bda-4fa3-93c0-fb689fcf3340"",""4f0daec9-4c10-4906-a778-43a8fa2251c3"",""0df2947b-e8b8-42e5-a52d-16cf5ded1cf2"",""cd1aee58-bb92-44b4-ad3a-a5bc2dc6db7e"",""10aa9a77-1433-11e9-a8fa-a0481ca9e724"",""c5cb0f71-a627-40b9-8acb-5be42e4d5914"",""a36f7919-0d6e-4044-902c-64a74feade6b"",""2a7d2fb8-e0db-4a4b-9661-4809865aaccf"",""87d11829-ae5e-4e5a-9b4a-c090c723e7c3"",""8dd1d18f-b735-40e6-abe8-943ecda83fa4"",""5cd5336c-2f45-4430-a9a8-312aa2095cb6"",""4e970a98-149d-4103-a7da-a6e8f974aad3"",""df2c4602-03c4-4130-b7e5-2439e68bf415"",""d559a21a-4ef1-43ee-94da-798ac267747e"",""9ab49037-8827-456f-b819-8e4c84aa22ca"",""fea2e778-b41d-4faa-8947-613c669b24b7"",""baba993a-1df0-4a34-8f70-628dfa010504"",""c824bc78-2c6a-42b5-bfc8-9555a1c7b11c"",""10aa9a8f-1433-11e9-a8fa-a0481ca9e724"",""4ef1fe75-44f2-4f12-b0a4-dad9d90a61b9"",""5dad673a-b96b-4b5c-b2f8-6f8dbdcb6cbd"",""953d0964-6746-489a-a8d1-f188595516a9"",""79ee0152-3dc9-4a6e-8df7-b3d5b154bee0"",""10aa9a99-1433-11e9-a8fa-a0481ca9e724"",""f72f5698-4a3d-4af2-ae12-a4b1cf151cec"",""a3364e47-9229-4a6d-aed2-487fd7e4dccc"",""e3051b48-3005-46a1-a0ec-1726c2bbd3e2"",""c78659a0-4c74-4ab2-99db-adb426a54c66"",""9cce26c0-456d-4519-aeac-cb3ab7d616ed""]";World soil information, africa soil information
https://data.oecd.org/agriculture.htm;OECD;Global;;;;Agricultural statistics
https://www.fao.org/faostat/en/;FAOSTAT;Global;;;;Agricultural statistics
https://aiccra.cgiar.org/;AICCRA;Global;;;;AICCRA makes climate information services and climate-smart agriculture more accessible to smallholder farmers across Africa with better access to technology and advisory services—linked to information about effective response measures—farmers can better anticipate climate-related events to take preventative action.
https://www.servirglobal.net/;SERVIR (NASA);Global;;;;SERVIR connects space to village...by helping developing countries use satellite data to address critical challenges in food security, water resources, weather and climate, land use, and disasters. (Other link: www.nasa.gov/mission_pages/servir/index.html).
